"id","name","dataset","valueType","datasetId","notes","properties","rank","definition"
1871,"Merchandise exports to economies in the Arab World (% of total merchandise exports)","World Development Indicators","value",40,NA,NA,5,"Merchandise exports to economies in the Arab World are the sum of merchandise exports by the reporting economy to economies in the Arab World. Data are expressed as a percentage of total merchandise exports by the economy. Data are computed only if at least half of the economies in the partner country group had non-missing data. Weighted average."
537,"Quality of roads, 1-7 (best)","World Economic Forum Global Competitiveness Index","value",14,NA,"Annual data for 140 countries; historical data 2005-2015, but indicators may not be comparable year-to-year",5,"In your country, how would you assess the quality of roads? [1 = extremely underdeveloped-among the worst in the world; 7 = extensive and efficient-among the best in the world]"
839,"Mobile cellular subscriptions (per 100 people)","World Development Indicators","value",40,NA,NA,3,"Mobile cellular telephone subscriptions are subscriptions to a public mobile telephone service that provide access to the PSTN using cellular technology. The indicator includes (and is split into) the number of postpaid subscriptions, and the number of active prepaid accounts (i.e. that have been used during the last three months). The indicator applies to all mobile cellular subscriptions that offer voice communications. It excludes subscriptions via data cards or USB modems, subscriptions to public mobile data services, private trunked mobile radio, telepoint, radio paging and telemetry services. Weighted average. Operators have traditionally been the main source of telecommunications data, so information on subscriptions has been widely available for most countries."
1829,"Import value index (2000 = 100)","World Development Indicators","value",40,NA,NA,4,"Import value indexes are the current value of imports (c.i.f.) converted to U.S. dollars and expressed as a percentage of the average for the base period (2000). UNCTAD's import value indexes are reported for most economies. For selected economies for which UNCTAD does not publish data, the import value indexes are derived from import volume indexes (line 73) and corresponding unit value indexes of imports (line 75) in the IMF's International Financial Statistics."
2300,"Anti Dumping trade barriers (Initiation)","I-TIP Goods","stc",1,"No bulk download; queriable table only. Measures are dated by initiated/entered into force/withdrawn.","All measures in force or terminated after December 2000. 162 countries (WTO members).",4,"Antidumping measures have been sourced from the semi-annual ADP reports, as recorded in WTO-ADDB system. I-TIP covers all measures since December 2000; therefore, the information currently accessible covers all definitive measures in force as of the end of that period as well as all those initiated, put into force or withdrawn thereafter but does not cover measures terminated before December 2000. GATT's Article 6 allows anti-dumping duties to be imposed on goods that are deemed to be dumped and causing injury to producers of competing products in the importing country. These duties are equal to the difference between the goods' export price and their normal value, if dumping causes injury."
526,"Financing through local equity market, 1-7 (best)","World Economic Forum Global Competitiveness Index","rank",14,NA,"Annual data for 140 countries; historical data 2005-2015, but indicators may not be comparable year-to-year",4,"In your country, how easy is it for companies to raise money by issuing shares on the stock market? [1 = extremely difficult; 7 = extremely easy]"
1914,"Tariff rate, most favored nation, simple mean, primary products (%)","World Development Indicators","value",40,NA,NA,4,"Simple mean most favored nation tariff rate is the unweighted average of most favored nation rates for all products subject to tariffs calculated for all traded goods. Data are classified using the Harmonized System of trade at the six- or eight-digit level. Tariff line data were matched to Standard International Trade Classification (SITC) revision 3 codes to define commodity groups. Primary products are commodities classified in SITC revision 3 sections 0-4 plus division 68 (nonferrous metals)."
559,"Quality of primary education, 1-7 (best)","World Economic Forum Global Competitiveness Index","value",14,"2007-2008 and later only","Annual data for 140 countries; historical data 2005-2015, but indicators may not be comparable year-to-year",5,"In your country, how would you assess the quality of primary schools? [1 = extremely poor-among the worst in the world; 7 = excellent-among the best in the world]"
131,"Do retailers provide information to private credit bureaus or public credit registries?","Women, Business and the Law","value",42,"","",5,NA
3086,"Effectively applied import tariff rates on non-agricultural and non-fuel products","United Nations Conference on Trade and Development Statistics","number_of_50_to_100_tariff_lines",19,"","Annual, 1988-2014. 238 markets",4,"This table presents MFN (Most Favoured Nation) and effectively applied import tariff rates for major categories of non-agricultural and non-fuel products by individual country (as market economy) and economic grouping (as origin), expressed in various aggregation measures. Average tariff of a market country for an origin group (except for world) is calculated by taking those products (at HS 6-digit level) that are imported by the market country from each country included in the origin group. i.e., tariff rates for those products that are not traded are not included in the calculation."
2293,"Technical barriers to trade (in force)","I-TIP Goods","hs",1,"No bulk download; queriable table only. Measures are dated by initiated/entered into force/withdrawn.","All measures in force or terminated after 1995 as reported to WTO. 162 countries (WTO members).",4,"Technical barriers to trade are regulations, standards, testing and certification procedures, which could obstruct trade. The WTO's TBT Agreement aims to ensure that these do not create unnecessary obstacles. Data have been sourced from regular TBT notifications as reflected in the TBT-IMS, (TBT Information Management System). The measures reflected in I-TIP are those notified under Articles 10.6 and 10.7 of the TBT agreement. Specific Trade Concerns (STC) information (see next paragraph) is used as a complementary source of information."
178,"Can nonpregnant and nonnursing women work in metalworking in the same way as men?","Women, Business and the Law","value",42,"","",5,NA
357,"General government primary net lending/borrowing","World Economic Outlook","national_currency",10,NA,"189 countries; updated semiannually in April and Sept/Oct from 1980-2015, plus projections for 2016/7",3,"Primary net lending/borrowing is net lending (+)/borrowing (?) plus net interest payable/paid (interest expense minus interest revenue)."
241,"% of permanent full-time workers that are female","Enterprise Surveys","value",8,NA,"135 countries; survey date ranges from 2007-2014 for individual countries",3,"Percentage of full-time workers that are female."
325,"Logistics Performance Index","Logistics Performance Index","rank_lower_bound",9,NA,"160 countries; 4 years (2007, 10, 12, 14)",2,"LPI ranks countries on six dimensions of trade -- (score and rank) -- including customs performance, infrastructure quality, and timeliness of shipments -- that have increasingly been recognized as important to development. The data used in the ranking comes from a survey of logistics professionals who are asked questions about the foreign countries in which they operate."
17,"Self-employed without employees (%)","OECD Innovation Indicators","men",43,NA,"Annual, 1990-2014. 34 countries. ",4,"Those who are self-employed without employees are people whose primary activity is self-employment and do not employ others. The incorporated self-employed are only partly or non-included in the counts of self-employed in several countries. This indicator is measured by gender as percentage of total employment."
1021,"Imports of goods and services (annual % growth)","World Development Indicators","value",40,NA,NA,3,"Annual growth rate of imports of goods and services based on constant local currency. Aggregates are based on constant 2010 U.S. dollars. Imports of goods and services represent the value of all goods and other market services received from the rest of the world. They include the value of merchandise, freight, insurance, transport, travel, royalties, license fees, and other services, such as communication, construction, financial, information, business, personal, and government services. They exclude compensation of employees and investment income (formerly called factor services) and transfer payments. Weighted average."
3229,"SG Flow","Temporary Trade Barriers Database","simple",26,"","32 countries + the EU. 1990-2013.",4,"Imports subject to any newly initiated safeguard investigations only"
2771,"% of firms identifying tax rates as the biggest obstacle","Enterprise Surveys","value",8,NA,"",3,""
142,"What is the length of paid parental leave?","Women, Business and the Law","value",42,"","",5,NA
2304,"Countervailing trade barriers (initiation)","I-TIP Goods","stc",1,"No bulk download; queriable table only. Measures are dated by initiated/entered into force/withdrawn.","All measures in force or terminated after December 2000. 162 countries (WTO members).",4,"Countervailing measures have been sourced from the semi-annual reports under article 16.4 of the agreement, starting with the July-December 2000 report; therefore, the information currently accessible covers all definitive measures in force as of the end of that period and thereafter but does not cover measures that ended before that period. Countervailing measures are actions taken by the importing country, usually in the form of increased duties to offset subsidies given to producers or exporters in the exporting country."
1749,"Internet users (per 100 people)","World Development Indicators","value",40,NA,NA,3,"Internet users are individuals who have used the Internet (from any location) in the last 12 months. Internet can be used via a computer, mobile phone, personal digital assistant, games machine, digital TV etc. Weighted average. Operators have traditionally been the main source of telecommunications data, so information on subscriptions has been widely available for most countries."
33,"Researchers","OECD Innovation Indicators","total_1000employed",43,NA,"Annual, 1981-2014. 34 countries.",5,"Researchers are professionals engaged in the conception or creation of new knowledge, products, processes, methods and systems, as well as in the management of the projects concerned. This indicator is measured in per 1 000 people employed and in number of researchers; the data are available as a total and broken down by gender."
633,"Property rights, 1-7 (best)","World Economic Forum Global Competitiveness Index","value",14,NA,"Annual data for 140 countries; historical data 2005-2015, but indicators may not be comparable year-to-year",4,"In your country, how strong is the protection of property rights, including financial assets? [1 = extremely weak; 7 = extremely strong]"
1783,"Poverty gap at $1.90 a day (2011 PPP) (%)","World Development Indicators","value",40,NA,NA,3,"Poverty gap at $1.90 a day (2011 PPP) is the mean shortfall in income or consumption from the poverty line $1.90 a day (counting the nonpoor as having zero shortfall), expressed as a percentage of the poverty line. This measure reflects the depth of poverty as well as its incidence. As a result of revisions in PPP exchange rates, poverty rates for individual countries cannot be compared with poverty rates reported in earlier editions. Note: five countries -- Bangladesh, Cabo Verde, Cambodia, Jordan, and Lao PDR -- use the 2005 PPP conversion factors and corresponding $1.25 a day and $2 a day poverty lines. This is due to the large deviations in the rate of change in PPP factors relative to the rate of change in domestic consumer price indexes. See Box 1.1 in the Global Monitoring Report 2015/2016 (http://www.worldbank.org/en/publication/global-monitoring-report) for a detailed explanation. Five countries -- Bangladesh, Cabo Verde, Cambodia, Jordan, and Lao PDR -- use the 2005 PPP conversion factors and corresponding $1.25 a day and $2 a day poverty lines."
2741,"Values and shares of creative goods, imports","United Nations Conference on Trade and Development Statistics","usd_millions",19,"","Annual, 2003-2012.  ~240 economies, plus regional/income groups",4,"Imports of creative goods by individual country, geographical region and economic grouping, expressed in millions of dollars and broken down by individual trading partner or trading group. Furthermore, data are presented also as percentage of world (both as economy and trading partner), total products, and region. "
109,"Do married men and married women have equal ownership rights to property?","Women, Business and the Law","value",42,"","",3,NA
3124,"New Product early-stage Entrepreneurial Activity","Global Entrepreneurship Monitor Adult Population Survey","value",21,"","Annual, 2001-2015. 67 countries.",4,"Percentage of TEA who indicate that their product or service is new to at least some customers"
524,"Affordability of financial services, 1-7 (best)","World Economic Forum Global Competitiveness Index","rank",14,"2010-2011 and later only","Annual data for 140 countries; historical data 2005-2015, but indicators may not be comparable year-to-year",4,"In your country, to what extent are financial services affordable for businesses? [1 = not affordable at all; 7 = affordable]"
1129,"Transport services (% of service imports, BoP)","World Development Indicators","value",40,NA,NA,4,"Transport covers all transport services (sea, air, land, internal waterway, pipeline, space and electricity transmission) performed by residents of one economy for those of another and involving the carriage of passengers, the movement of goods (freight), rental of carriers with crew, and related support and auxiliary services. Also included are postal and courier services. Excluded are freight insurance (included in insurance services); goods procured in ports by nonresident carriers (included in goods); maintenance and repairs on transport equipment (included in maintenance and repair services n.i.e.); and repairs of railway facilities, harbors, and airfield facilities (included in construction). Weighted average."
3282,"Tax Rates","WEF GCI Most Problematic Factors","value",44,"","",3,""
644,"No. days to start a business","World Economic Forum Global Competitiveness Index","rank",14,NA,"Annual data for 140 countries; historical data 2005-2015, but indicators may not be comparable year-to-year",4,"Number of days required to start a business"
2396,"GATS trade in services commitments (by member/sector): Construction and Related Engineering Services - General construction work for civil engineering","I-TIP Services","presence",18,"No bulk download; queriable table only, which gives a list of agreements by country, broken down by sector.","Currently in-effect policies only, as reported to WTO. 162 countries (WTO members).",5,"Information on the Members' market access commitments and exemptions to the obligation of most-favoured-nation (MFN). In this database, the schedule of specific commitments of the European Union covers the commitments of the 12 original Members States, except for commitments in the sectors of telecommunication and financial services, as well as for mode 4, which cover 15 Member States (i.e., the original 12 plus Sweden, Finland and Austria).  A consolidated schedule that covers 25 Member States was certified on 18 December 2006.  This consolidated schedule can be accessed through the WTO's 'documents online' page;  it is contained in documents S/C/W/273 and S/C/W/273/Suppl.1.  However, this new schedule of commitments had not yet entered into force and is therefore not included into the database. "
3115,"New Business Ownership Rate","Global Entrepreneurship Monitor Adult Population Survey","value",21,"","Annual, 2001-2015. 67 countries.",3,"Percentage of 18-64 population who are currently a owner-manager of a new business, i.e., owning and managing a running business that has paid salaries, wages, or any other payments to the owners for more than three months, but not more than 42 months"
2421,"GATS trade in services commitments (by member/sector): Tourism and Travel Related Services - Hotels and restaurants (incl. catering)","I-TIP Services","presence",18,"No bulk download; queriable table only, which gives a list of agreements by country, broken down by sector.","Currently in-effect policies only, as reported to WTO. 162 countries (WTO members).",5,"Information on the Members' market access commitments and exemptions to the obligation of most-favoured-nation (MFN). In this database, the schedule of specific commitments of the European Union covers the commitments of the 12 original Members States, except for commitments in the sectors of telecommunication and financial services, as well as for mode 4, which cover 15 Member States (i.e., the original 12 plus Sweden, Finland and Austria).  A consolidated schedule that covers 25 Member States was certified on 18 December 2006.  This consolidated schedule can be accessed through the WTO's 'documents online' page;  it is contained in documents S/C/W/273 and S/C/W/273/Suppl.1.  However, this new schedule of commitments had not yet entered into force and is therefore not included into the database. "
2486,"Regional Trade Agreement (RTA) trade in services commitments: Transport Services - Maritime Transport Services","I-TIP Services","presence",18,"No bulk download; queriable table only, which gives a list of agreements by country, broken down by sector.","Currently in-effect policies only, as reported to WTO. 162 countries (WTO members).",5,"Members' commitments in regional trade agreements notified under Article V of the GATS. Additional notified agreements will be added over forthcoming months. When accessing information on services commitments in regional trade agreements, users need to keep in mind that, in general, the scope and content of services RTAs can differ from GATS in a number of respects, just as the scope and content of services disciplines also differ from one RTA to the other. "
296,"Products shipped to supply domestic markets that were lost due to theft (% of product value)","Enterprise Surveys","value",8,NA,"135 countries; survey date ranges from 2007-2014 for individual countries",4,"Value of losses of products, due to theft, while in transit to domestic markets."
686,"Efficiency of legal framework in settling disputes, 1-7 (best)","World Economic Forum Global Competitiveness Index","rank",14,"2009-2010 and later only","Annual data for 140 countries; historical data 2005-2015, but indicators may not be comparable year-to-year",4,"In your country, how efficient is the legal framework for private businesses in settling disputes? [1 = extremely inefficient; 7 = extremely efficient]"
282,"% of firms expected to give gifts to secure government contract","Enterprise Surveys","value",8,"Database Query Tool allows ""firm subgroup"" data, though not completely disaggregated: http://www.enterprisesurveys.org/Custom-Query","135 countries; survey date ranges from 2007-2014 for individual countries",4,"Percentage of establishments that consider that firms with characteristics similar to theirs are making informal payments or giving gifts to public officials to secure government contract."
1117,"Services, etc., value added (% of GDP)","World Development Indicators","value",40,NA,NA,3,"Services correspond to ISIC divisions 50-99 and they include value added in wholesale and retail trade (including hotels and restaurants), transport, and government, financial, professional, and personal services such as education, health care, and real estate services. Also included are imputed bank service charges, import duties, and any statistical discrepancies noted by national compilers as well as discrepancies arising from rescaling. Value added is the net output of a sector after adding up all outputs and subtracting intermediate inputs. It is calculated without making deductions for depreciation of fabricated assets or depletion and degradation of natural resources. The industrial origin of value added is determined by the International Standard Industrial Classification (ISIC), revision 3. Note: For VAB countries, gross value added at factor cost is used as the denominator. Weighted average. In the services industry the many self-employed workers and one-person businesses are sometimes difficult to locate, and they have little incentive to respond to surveys, let alone to report their full earnings."
428,"Cost to export: Documentary compliance (USD)","Doing Business","value",36,NA,"For 2015/16 reports: 189 countries, 10 subject sub-rankings, 1 overall ranking. Earlier reports going back to 2004 have varying sub indicators and methodologies; may not be comparable",3,"Cost for documentary compliance when exporting the product of comparative advantage. Insurance cost and informal payments for which no receipt is issued are excluded from the costs recorded. "
10,"% of Enterprises in manufacturing by business size","OECD Innovation Indicators","0_9_employees",43,"Stray data points (1-4) for 2008, 2009. ","Once, 2010. 34 countries.",4,"An enterprise is defined as a legal entity possessing the right to conduct business on its own, for example to enter into contracts, own property, incur liabilities and establish bank accounts. An enterprise may be a corporation, a quasi- corporation, a non-profit institution, or an unincorporated enterprise. Enterprises can be classified in different categories according to their size; for this purpose, different criteria may be used, but the most common is number of people employed. In small and medium-sized enterprises (SMEs) employ fewer than 250 people. SMEs are further subdivided into micro enterprises (fewer than 10 employees), small enterprises (10 to 49 employees), medium-sized enterprises (50 to 249 employees). Large enterprises employ 250 or more people. This indicator is measured as a percentage of enterprises in manufacturing."
146,"What percentage of wages is paid during maternity leave?","Women, Business and the Law","value",42,"","",5,NA
752,"Fiscal freedom score","Heritage Index of Economic Freedom","value",15,"2016 data in bulk download. 1995-2015 data via searchable online portal; would need to search for all countries for each individual year and export that year's data","1995-2016; 186 countries total, but data gaps increase in earlier years. At least some data for every country 2013-2016",5,"The fiscal freedom component is a composite measure of the burden of taxes that reflects both marginal tax rates and the overall level of taxation, including direct and indirect taxes imposed by all levels of government, as a percentage of gross domestic product (GDP). "
3045,"Services: Imports of total services, value, shares and growth","United Nations Conference on Trade and Development Statistics","percentage_of_world",19,"","Annual, 1980-2013. ~240 countries, plus regional/income groups",4,"This table presents annual statistics on total international trade in services by individual country, geographical region and economic grouping, expressed in millions of dollars. Percentages of the world total and the annual percentage changes are also indicated. International trade in total commercial services is included as a memo item."
2816,"Foreign Direct Investment: Inward flows","United Nations Conference on Trade and Development Statistics","usd_millions",19,"","Annual, 1980-2014. ~240 countries, plus regional/income groups",3,"This table contains information on foreign direct investment (FDI) inward and outward flows and stock, expressed in millions of dollars. These figures correspond to the Statistical Annexes of the UNCTAD World Investment Report 2015. The table also presents following indicators: FDI per capita, the percentage share of each economy/group in the world, and percentage ratios of FDI to GDP, percentage ratios of FDI flows to gross fixed capital formation (GFCF), to total merchandise and services trade, and to total merchandise trade."
98,"Can a married woman be ""head of household"" or ""head of family"" in the same way as a married man?","Women, Business and the Law","value",42,"","",5,NA
193,"Do protection orders provide for removal of the perpetrator from the home?","Women, Business and the Law","value",42,"","",5,NA
2868,"Goods and services (BPM5): Trade balance indicators of services","United Nations Conference on Trade and Development Statistics","percentage_of_imports",19,"","Annual, 1980-2013. ~235 countries plus regional/income groups",4,"This table shows indicators of trade balances as the following: (i) Normalized trade balance, (ii) Trade balance as percentage of imports, and (iii) Trade balance as a percentage of nominal gross domestic product (GDP)."
655,"Flexibility of wage determination, 1-7 (best)","World Economic Forum Global Competitiveness Index","value",14,NA,"Annual data for 140 countries; historical data 2005-2015, but indicators may not be comparable year-to-year",5,"In your country, how are wages generally set? [1 = by a centralized bargaining process; 7 = by each individual company]"
243,"% of permanent full-time non-production workers that are female","Enterprise Surveys","value",8,NA,"135 countries; survey date ranges from 2007-2014 for individual countries",3,"Percentage of permanent full-time non-production workers that are female."
2768,"% of firms identifying political instability as the biggest obstacle","Enterprise Surveys","value",8,NA,"",5,""
2019,"Trademark applications, total","World Development Indicators","value",40,NA,NA,3,"Trademark applications filed are applications to register a trademark with a national or regional Intellectual Property (IP) office. A trademark is a distinctive sign which identifies certain goods or services as those produced or provided by a specific person or enterprise. A trademark provides protection to the owner of the mark by ensuring the exclusive right to use it to identify goods or services, or to authorize another to use it in return for payment. The period of protection varies, but a trademark can be renewed indefinitely beyond the time limit on payment of additional fees. Sum. Detailed components of trademark filings are available at the World Bank at http://data.worldbank.org."
617,"Tuberculosis cases/100,000 pop.","World Economic Forum Global Competitiveness Index","value",14,NA,"Annual data for 140 countries; historical data 2005-2015, but indicators may not be comparable year-to-year",5,"Estimated number of tuberculosis cases per 100,000 population"
2927,"Goods and services (BPM6): Trade openness indicators, average of imports and exports, services","United Nations Conference on Trade and Development Statistics","percentage_of_gdp",19,"","Annual, 2005-2014. ~235 countries plus regional/income groups",4,"This table shows exports, imports and sum/average of exports and imports as percentage of nominal gross domestic product (GDP). The indicators are calculated for trade in goods, trade in services and total trade in goods and services. The average of imports and exports, which indicates roughly the size of international trade, is the sum of imports and exports divided by two."
674,"Business costs of terrorism, 1-7 (best)","World Economic Forum Global Competitiveness Index","rank",14,NA,"Annual data for 140 countries; historical data 2005-2015, but indicators may not be comparable year-to-year",4,"In your country, to what extent does the threat of terrorism impose costs on businesses? [1 = to a great extent; 7 = not at all]"
995,"Gross national expenditure (current US$)","World Development Indicators","value",40,NA,NA,5,"Gross national expenditure (formerly domestic absorption) is the sum of household final consumption expenditure (formerly private consumption), general government final consumption expenditure (formerly general government consumption), and gross capital formation (formerly gross domestic investment). Data are in current U.S. dollars. Gap-filled total."
167,"What is the mandatory retirement age for men?","Women, Business and the Law","value",42,"","",5,NA
2939,"ICT goods exports (% of total trade)","United Nations Conference on Trade and Development Statistics","usd_millions",19,"","Annual, 2000-2014. ~240 economies, plus regional/income groups",4,"Share of ICT goods as a percentage of trade"
1569,"Real effective exchange rate index (2010 = 100)","World Development Indicators","value",40,NA,NA,2,"Real effective exchange rate is the nominal effective exchange rate (a measure of the value of a currency against a weighted average of several foreign currencies) divided by a price deflator or index of costs. Because of conceptual and data limitations, changes in real effective exchange rates should be interpreted with caution."
1911,"Tariff rate, applied, weighted mean, primary products (%)","World Development Indicators","value",40,NA,NA,4,"Weighted mean applied tariff is the average of effectively applied rates weighted by the product import shares corresponding to each partner country. Data are classified using the Harmonized System of trade at the six- or eight-digit level. Tariff line data were matched to Standard International Trade Classification (SITC) revision 3 codes to define commodity groups and import weights. To the extent possible, specific rates have been converted to their ad valorem equivalent rates and have been included in the calculation of weighted mean tariffs. Import weights were calculated using the United Nations Statistics Division's Commodity Trade (Comtrade) database. Effectively applied tariff rates at the six- and eight-digit product level are averaged for products in each commodity group. When the effectively applied rate is unavailable, the most favored nation rate is used instead. Primary products are commodities classified in SITC revision 3 sections 0-4 plus division 68 (nonferrous metals)."
672,"Favoritism in decisions of government officials, 1-7 (best)","World Economic Forum Global Competitiveness Index","rank",14,NA,"Annual data for 140 countries; historical data 2005-2015, but indicators may not be comparable year-to-year",4,"In your country, to what extent do government officials show favoritism to well-connected firms and individuals when deciding upon policies and contracts? [1 = always show favoritism; 7 = never show favoritism]"
2942,"ICT use in business by location type: proportion of rural persons employed routinely using computers","United Nations Conference on Trade and Development Statistics","value",19,"","Annual, 2003-2014. 19 economies",5,"Core indicators on the use of ICT in business differentiated by urban - rural location"
2462,"Regional Trade Agreement (RTA) trade in services commitments: Educational Services - Secondary education services","I-TIP Services","presence",18,"No bulk download; queriable table only, which gives a list of agreements by country, broken down by sector.","Currently in-effect policies only, as reported to WTO. 162 countries (WTO members).",5,"Members' commitments in regional trade agreements notified under Article V of the GATS. Additional notified agreements will be added over forthcoming months. When accessing information on services commitments in regional trade agreements, users need to keep in mind that, in general, the scope and content of services RTAs can differ from GATS in a number of respects, just as the scope and content of services disciplines also differ from one RTA to the other. "
478,"Quality of judicial processes to enforce contracts index (0-18)","Doing Business","value",36,NA,"For 2015/16 reports: 189 countries, 10 subject sub-rankings, 1 overall ranking. Earlier reports going back to 2004 have varying sub indicators and methodologies; may not be comparable",3,"The quality of judicial processes index measures whether each economy has adopted a series of good practices in its court system in four areas: court structure and proceedings, case management, court automation and alternative dispute resolution"
956,"GNI, Atlas method (current US$)","World Development Indicators","value",40,NA,NA,4,"GNI (formerly GNP) is the sum of value added by all resident producers plus any product taxes (less subsidies) not included in the valuation of output plus net receipts of primary income (compensation of employees and property income) from abroad. Data are in current U.S. dollars. GNI, calculated in national currency, is usually converted to U.S. dollars at official exchange rates for comparisons across economies, although an alternative rate is used when the official exchange rate is judged to diverge by an exceptionally large margin from the rate actually applied in international transactions. To smooth fluctuations in prices and exchange rates, a special Atlas method of conversion is used by the World Bank. This applies a conversion factor that averages the exchange rate for a given year and the two preceding years, adjusted for differences in rates of inflation between the country, and through 2000, the G-5 countries (France, Germany, Japan, the United Kingdom, and the United States). From 2001, these countries include the Euro area, Japan, the United Kingdom, and the United States. Gap-filled total."
3262,"Share of Exporters","Entrepreneurship at a Glance","50-249",28,NA,"",3,"Share of exporters, enterprises with 50-249 employees"
2896,"Goods and services (BPM5): Trade openness indicators, average of imports and exports, goods and services","United Nations Conference on Trade and Development Statistics","usd_millions",19,"","Annual, 1980-2013. ~235 countries plus regional/income groups",4,"This table shows exports, imports and sum/average of exports and imports as percentage of nominal gross domestic product (GDP). The indicators are calculated for trade in goods, trade in services and total trade in goods and services. The average of imports and exports, which indicates roughly the size of international trade, is the sum of imports and exports divided by two."
458,"Procedures to start a business (#)","Doing Business","value",36,NA,"For 2015/16 reports: 189 countries, 10 subject sub-rankings, 1 overall ranking. Earlier reports going back to 2004 have varying sub indicators and methodologies; may not be comparable",3,"Total number of procedures necessary to get a local limited liability company up and running, including obtaining all necessary licenses and permits and completing any required notifications, verifications or inscriptions for the company and employees with relevant authorities."
3191,"Vehicle technical inspection","Enabling the Business of Agriculture","usd",24,NA,"Data collected 2014-2015; one value per indicator. 40 countries.",5,"Laws and regulations that affect the provision of commercial road transport services. The indicators address factors that could potentially benefit farmers and agribusinesses through more competitive and better regulated services that enable the transport of agricultural products to the market. (0-100)"
3157,"Cost to register as a tractor importer","Enabling the Business of Agriculture","usd",24,NA,"Data collected 2014-2015; one value per indicator. 40 countries.",5,"Import and safety regulation of tractors (0-100)"
198,"Are there criminal penalties for sexual harassment?","Women, Business and the Law","value",42,"","",5,NA
629,"Buyer sophistication, 1-7 (best)","World Economic Forum Global Competitiveness Index","value",14,NA,"Annual data for 140 countries; historical data 2005-2015, but indicators may not be comparable year-to-year",4,"In your country, how do buyers make purchasing decisions? [1 = based solely on the lowest price; 7 = based on a sophisticated analysis of performance attributes]"
413,"Product-mix and sectoral specialization effect","Measuring Export Competitiveness","quantity",12,NA,"216 countries, quarterly data from 2005q2-2014q3",4,"Product-mix and sectoral specialization effect (Delta log year-over-year change)"
163,"What is the age at which a man can retire and receive full benefits?","Women, Business and the Law","value",42,"","",5,NA
3070,"MFN import tariff rates on non-agricultural and non-fuel products","United Nations Conference on Trade and Development Statistics","number_of_20_to_50_tariff_lines",19,"","Annual, 1988-2014. 238 markets",4,"This table presents MFN (Most Favoured Nation) and effectively applied import tariff rates for major categories of non-agricultural and non-fuel products by individual country (as market economy) and economic grouping (as origin), expressed in various aggregation measures. Average tariff of a market country for an origin group (except for world) is calculated by taking those products (at HS 6-digit level) that are imported by the market country from each country included in the origin group. i.e., tariff rates for those products that are not traded are not included in the calculation."
1858,"Manufactures exports (% of merchandise exports)","World Development Indicators","value",40,NA,NA,3,"Manufactures comprise commodities in SITC sections 5 (chemicals), 6 (basic manufactures), 7 (machinery and transport equipment), and 8 (miscellaneous manufactured goods), excluding division 68 (non-ferrous metals). Weighted average. Previous editions contained data based on the SITC revision 1."
1915,"Tariff rate, most favored nation, weighted mean, all products (%)","World Development Indicators","value",40,NA,NA,3,"Weighted mean most favored nations tariff is the average of most favored nation rates weighted by the product import shares corresponding to each partner country. Data are classified using the Harmonized System of trade at the six- or eight-digit level. Tariff line data were matched to Standard International Trade Classification (SITC) revision 3 codes to define commodity groups and import weights. Import weights were calculated using the United Nations Statistics Division's Commodity Trade (Comtrade) database."
533,"Women in labor force, ratio to men","World Economic Forum Global Competitiveness Index","value",14,NA,"Annual data for 140 countries; historical data 2005-2015, but indicators may not be comparable year-to-year",3,"Ratio of women to men in the labor force* "
2767,"% of firms identifying labor regulations as the biggest obstacle","Enterprise Surveys","value",8,NA,"",3,""
588,"Firm-level technology absorption, 1-7 (best)","World Economic Forum Global Competitiveness Index","rank",14,NA,"Annual data for 140 countries; historical data 2005-2015, but indicators may not be comparable year-to-year",3,"In your country, to what extent do businesses adopt new technology? [1 = not at all; 7 = adopt extensively]"
3190,"Truck permit","Enabling the Business of Agriculture","validity",24,NA,"Data collected 2014-2015; one value per indicator. 40 countries.",5,"Laws and regulations that affect the provision of commercial road transport services. The indicators address factors that could potentially benefit farmers and agribusinesses through more competitive and better regulated services that enable the transport of agricultural products to the market. (0-100)"
1026,"Imports of goods and services (current US$)","World Development Indicators","value",40,NA,NA,1,"Imports of goods and services represent the value of all goods and other market services received from the rest of the world. They include the value of merchandise, freight, insurance, transport, travel, royalties, license fees, and other services, such as communication, construction, financial, information, business, personal, and government services. They exclude compensation of employees and investment income (formerly called factor services) and transfer payments. Data are in current U.S. dollars. Gap-filled total. Because policymakers have tended to focus on fostering the growth of output, and because data on production are easier to collect than data on spending, many countries generate their primary estimate of GDP using the production approach."
2761,"% of firms identifying corruption as the biggest obstacle","Enterprise Surveys","value",8,NA,"",3,""
2390,"GATS trade in services commitments (by member/sector): Communication Services - Postal services","I-TIP Services","presence",18,"No bulk download; queriable table only, which gives a list of agreements by country, broken down by sector.","Currently in-effect policies only, as reported to WTO. 162 countries (WTO members).",5,"Information on the Members' market access commitments and exemptions to the obligation of most-favoured-nation (MFN). In this database, the schedule of specific commitments of the European Union covers the commitments of the 12 original Members States, except for commitments in the sectors of telecommunication and financial services, as well as for mode 4, which cover 15 Member States (i.e., the original 12 plus Sweden, Finland and Austria).  A consolidated schedule that covers 25 Member States was certified on 18 December 2006.  This consolidated schedule can be accessed through the WTO's 'documents online' page;  it is contained in documents S/C/W/273 and S/C/W/273/Suppl.1.  However, this new schedule of commitments had not yet entered into force and is therefore not included into the database. "
